"repo","skill","group","path","status","trigger","bytes","desc_tokens","skill_tokens","description"
"emilkowalski/skills","improve-animations","skills","skills/improve-animations","installed","auto","18691","113","2004","Survey a codebase's animation and motion code as a senior motion advisor, then produce a prioritized audit and self-contained implementation plans for other agents (or cheaper models) to execute. Read-only on source code — it plans improvements, it does not apply them. Use when the user asks to ""improve the animations"", ""audit the motion"", ""make this app feel better"", or wants a roadmap of animation fixes rather than a review of a single diff."
"emilkowalski/skills","pick-ui-library","skills","skills/pick-ui-library","installed","slash-only","4591","66","1148","Pick the right library for a given frontend task from a curated, opinionated list — numbers, OTP inputs, charts, command menus, virtualization, drag and drop, toasts, state, styling, and more. Only runs when explicitly invoked; it does not trigger on its own."
"emilkowalski/skills","prototype","skills","skills/prototype","installed","slash-only","15323","61","1895","Build multiple genuinely different versions of a UI piece you describe, rendered behind a visual picker so you can flip through them live and promote the one that feels right. Only runs when explicitly invoked; it does not trigger on its own."
"emilkowalski/skills","review-animations","skills","skills/review-animations","installed","slash-only","18208","40","2055","Reviews animation and motion code against a high craft bar derived from Emil Kowalski's design engineering philosophy. Default to flagging; approval is earned."
"emilkowalski/skills","write-swift","skills","skills/write-swift","installed","auto","42573","121","10644","How to write modern Swift well — modeling with value types, Swift 6 data-race safety and approachable concurrency (@concurrent, main-actor-by-default, actors, task groups), protocols and generics (some vs any), API design, performance and ARC, Swift Testing, macros, and the modern language features agents don't know about yet. Use when writing, reviewing, or migrating Swift, or when a concurrency error, a hang, a data race, a retain cycle, or a performance problem needs fixing."
"jakubkrehel/skills","better-accessibility","skills","skills/better-accessibility","installed","auto","37311","19","2092","Helps your project comply with accessibility standards and best practices."
"jakubkrehel/skills","better-colors","skills","skills/better-colors","installed","auto","40110","45","1938","Helps you build a color system and answer anything about color in your project. You can generate palettes, use semantic tokens, convert between formats, check contrast and more."
"jakubkrehel/skills","better-interface","skills","skills/better-interface","installed","auto","12262","33","2418","Combines all of the `better-*` skills into a single review across accessibility, layout, writing, typography, color and UI polish."
"jakubkrehel/skills","better-layout","skills","skills/better-layout","installed","auto","18039","28","1432","Helps with grouping, alignment, reading order, progressive disclosure and other details that make a good layout."
"jakubkrehel/skills","better-typography","skills","skills/better-typography","installed","auto","34758","42","2752","Focuses on type scale, spacing, sizing, variable fonts, OpenType features, wrapping, truncation and other details that make typography feel great across your product."
"jakubkrehel/skills","better-ui","skills","skills/better-ui","installed","auto","36499","38","1816","Polishes and improves the UI in your project. Covers concentric border radius, optical alignment, surface depth, contextual icons, hit areas and more."
"jakubkrehel/skills","better-writing","skills","skills/better-writing","installed","auto","6534","13","1634","Focuses on improving product copy in your project."
"jakubkrehel/skills","break","skills","skills/break","installed","slash-only","11164","25","1692","Renders a component you choose in every state and scenario on a temporary page and stress tests it."
"jakubkrehel/skills","explain-interface","skills","skills/explain-interface","installed","slash-only","30649","14","2508","Helps you figure out how something was built on the web."
"jakubkrehel/skills","interface-review","skills","skills/interface-review","installed","slash-only","22032","40","2711","Reviews your work across multiple categories like UI, typography, layout, color, writing and accessibility and gives you a detailed analysis of the findings."
"jakubkrehel/skills","variant","skills","skills/variant","installed","slash-only","9085","24","1569","Builds multiple variants of a component you're working on and helps you iterate and pick one."
"MengTo/Skills","add-mouse-driven-orbit","agent-skills/web-design","agent-skills/web-design/add-mouse-driven-orbit","absent","auto","6066","87","1517","Add restrained mouse-driven orbit and parallax depth to a Three.js hero by damping one pointer target and splitting it across camera translation, look-at, and small object rotations. Use for passive cinematic 3D heroes, pointer-responsive scenes, organic model parallax, and interactive depth where OrbitControls would feel like a product viewer."
"MengTo/Skills","add-shader-cursor-trail","agent-skills/web-design","agent-skills/web-design/add-shader-cursor-trail","absent","auto","3072","128","768","Add the Shaders WebGPU mouse effect used for the Tidal Commons hero: a white twinkling halftone cursor trail driven by ChromaFlow, masked through a DotGrid, finished with chromatic ripples and film grain, and protected by static, touch, accessibility, SSR, and performance fallbacks. Use when a user asks for this shader mouse effect, a halftone cursor trail, an interactive WebGPU hero/contact background, or a reusable cursor-following shader layer in React, Next.js, Vue, Svelte, Solid, or plain web projects."
"MengTo/Skills","agency-grid-layout-minimal","agent-skills/web-design","agent-skills/web-design/agency-grid-layout-minimal","absent","auto","4167","46","1042","Create a minimal agency design system with a disciplined editorial grid, oversized typography, quiet uppercase utility labels, restrained image blocks, and subtle structural detail."
"MengTo/Skills","ambient-section-particles","agent-skills/web-design","agent-skills/web-design/ambient-section-particles","absent","auto","4675","95","1041","Add a restrained particle atmosphere inside one section with configurable shapes, density, gravity, wind, sway, rotation, recycling or settling, pointer disturbance, visibility pausing, responsive limits, and reduced-motion fallbacks. Use for petals, leaves, snow, sparks, confetti, dots, paper, icons, or brand fragments that support a section's mood without obscuring content."
"MengTo/Skills","animation-on-scroll","agent-skills/web-design","agent-skills/web-design/animation-on-scroll","absent","auto","3659","59","915","Create an on-scroll animation trigger using IntersectionObserver with Tailwind-friendly animation classes and keyframes. Use when asked for scroll-reveal, animate-on-scroll, or sequencing element animations when they enter the viewport."
"MengTo/Skills","animation-systems","agent-skills/web-design","agent-skills/web-design/animation-systems","absent","auto","5424","69","1356","Use when designing or implementing product-grade web motion like Stripe, Linear, Apple, and Vercel. Covers motion principles, easing/duration defaults, choreography patterns, scroll/hover interactions, performance, accessibility (reduced motion), and implementation guidance."
"MengTo/Skills","article-prompts-to-skills","agent-skills/codex","agent-skills/codex/article-prompts-to-skills","absent","auto","6587","107","1647","Convert an article, tutorial, or prompt pack into focused reusable AgentSkills, one independent capability per skill, with portable instructions, example prompts, working demos, preview screenshots, validation, gallery updates, and a narrow commit. Use when the user asks to turn an article's prompts, tutorial sections, design patterns, interactions, or workflow ideas into complete skills rather than leaving them as prose."
"MengTo/Skills","atmosphere-background","agent-skills/web-design","agent-skills/web-design/atmosphere-background","absent","auto","3068","38","767","Create a dark atmospheric background with drifting vertical light folds, screen-blended glow, and a concentrated luminous corner or lower-edge bloom."
"MengTo/Skills","audit-ai-design-slop","agent-skills/ui","agent-skills/ui/audit-ai-design-slop","absent","auto","7190","73","1588","Audit websites, apps, screenshots, mockups, and design code for harmful AI-design clichés, generic generated defaults, and established UI defects. Use when the user wants evidence-backed design feedback, an anti-slop review, or a removal-first cleanup plan without a speculative redesign."
"MengTo/Skills","audit-reference-originality","agent-skills/codex","agent-skills/codex/audit-reference-originality","absent","auto","7196","115","1799","Audit a website or digital experience against its supplied source references for originality and plagiarism risk. Use when Codex must compare current or historical site output with reference pages, capture packs, screenshots, copy, brands, numbers, images, assets, videos, layouts, motion, or code; raise evidence-backed red flags; distinguish common visual grammar from distinctive copying; and propose concrete fixes without making unsupported legal claims."
"MengTo/Skills","audit-verify-explain-grade-5","agent-skills/codex","agent-skills/codex/audit-verify-explain-grade-5","absent","auto","3783","82","946","Audit work, verify claims with concrete evidence, and explain the result in simple grade-5 language. Use when the user asks to review, audit, check, verify, explain a change, explain a fix, summarize test results, validate whether something works, or translate technical findings into plain language for non-technical readers."
"MengTo/Skills","aura-asset-images","agent-skills/media","agent-skills/media/aura-asset-images","absent","auto","6343","99","1586","Use when you need high-quality stock-style images from Aura Assets (aura.build/assets) similar to Unsplash for design mockups and marketing: backgrounds, abstract wallpapers, architecture, portraits, and headshots. Includes a workflow for searching by tag on aura.build/assets and returns 5 real image URLs per category plus practical guidance for using different resolutions and aspect ratios."
"MengTo/Skills","author-game-levels","agent-skills/game-development","agent-skills/game-development/author-game-levels","absent","auto","4436","69","1109","Author or revise readable, flat-world Three.js game levels. Use for movement and camera routes, collision and navigation, encounter zones, landmarks, objectives, pickups, motivated lighting, visibility, deterministic level data, or desktop and mobile playthrough verification."
"MengTo/Skills","background-grid-webgl","agent-skills/web-design","agent-skills/web-design/background-grid-webgl","absent","auto","2664","33","666","Create a perspective WebGL background grid with fading lines, subtle particle haze, slow forward drift, and gentle camera parallax."
"MengTo/Skills","beam-glow-states","agent-skills/web-design","agent-skills/web-design/beam-glow-states","absent","auto","14273","96","3273","Create React loading, processing, selected, current, focus, and pressed states with the border-beam package's animated edge glow. Use when a card, button, input, tab, option, task panel, or agent surface needs a restrained traveling or breathing beam; includes installation, imports, prop selection, state wiring, reduced motion, accessibility, and performance and layout guardrails."
"MengTo/Skills","beautiful-shadows","agent-skills/web-design","agent-skills/web-design/beautiful-shadows","absent","auto","2597","69","650","Apply exact Tailwind arbitrary shadow utilities for polished, layered neutral elevation. Use when compact cards, controls, panels, popovers, hero media, feature callouts, or modal-like containers need refined shadows without default Tailwind shadow scales or colored tinting."
"MengTo/Skills","blue-cloudy-clean-modern","agent-skills/web-design","agent-skills/web-design/blue-cloudy-clean-modern","absent","auto","4222","39","1056","Create a clean modern design system with a luminous blue sky atmosphere, soft drifting cloud light, minimal white framing, and serene premium typography."
"MengTo/Skills","blue-laser-clean-glass-layout","agent-skills/web-design","agent-skills/web-design/blue-laser-clean-glass-layout","absent","auto","4434","33","1109","Create a clean dark glass layout system with a thin blue laser atmosphere, frosted premium shells, and polished dashboard structure."
"MengTo/Skills","book-serif-index","agent-skills/web-design","agent-skills/web-design/book-serif-index","absent","auto","4578","39","1145","Create an archival book-reader design system with serif-led pages, mono index navigation, aged paper surfaces, margin notes, and a premium catalog frame."
"MengTo/Skills","bright-green-tech-system-webgl","agent-skills/web-design","agent-skills/web-design/bright-green-tech-system-webgl","absent","auto","4482","42","1121","Create a bright-green technical design system with structured split layouts, hard-framed dark surfaces, mono utility labels, and a prominent WebGL visualization zone."
"MengTo/Skills","browser-video-recording","agent-skills/codex","agent-skills/codex/browser-video-recording","absent","auto","6277","133","1570","Create polished 60 fps 4:3 4K browser screen-recording style videos from Codex in-app browser captures, with browser-only crop, natural macOS cursor styling, deliberate click choreography, zoom-follow framing, ffprobe/thumbnail verification, and optional native recording compatibility checks. Use when the user asks to record or re-record browser actions, show cursor clicks and zooms, make Dribbble/UI inspiration or product demo recordings, or asks whether Codex, Playwright, or an MCP can produce a natural browser demo video."
"MengTo/Skills","build-awwwards-quality-sites","agent-skills/web-design","agent-skills/web-design/build-awwwards-quality-sites","absent","auto","7281","124","1821","Art-direct and implement distinctive, motion-rich marketing, editorial, portfolio, and landing websites with original reference-inspired imagery, standout heroes, GSAP choreography, one smooth-scroll engine, optional Three.js shaders, honest icon and logo sourcing, photo avatars, accessibility, and performance safeguards. Use when a user asks for an Awwwards-quality, premium, cinematic, interactive, high-concept, or motion-led website, or explicitly requests this visual and motion system."
"MengTo/Skills","build-daily-inspiration-sites","agent-skills/codex","agent-skills/codex/build-daily-inspiration-sites","absent","auto","7663","101","1916","Turn a completed daily UI inspiration capture into exactly five original landing-page builds, one per separate Codex task, using Sites. Use when the user asks to turn the daily inspiration references, a five-item UI prompt pack, or a dated `*-ui-inspiration-capture` article into distinct HTML landing pages while changing the source brands, names, copy, people, numbers, pricing, claims, and imagery."
"MengTo/Skills","build-game-audio-feedback","agent-skills/game-development","agent-skills/game-development/build-game-audio-feedback","absent","auto","1127","58","282","Design or implement responsive audio feedback for a Three.js or web game. Use for action sounds, combat layers, music states, spatial audio, mix priorities, mute controls, accessibility, mobile audio unlock, and audio performance."
"MengTo/Skills","build-game-camera-controls","agent-skills/game-development","agent-skills/game-development/build-game-camera-controls","absent","auto","1215","48","304","Implement or tune Three.js game cameras. Use for isometric framing, follow behavior, orbit/zoom limits, occlusion, lock-on, camera shake, touch camera controls, and camera regression tests."
"MengTo/Skills","build-game-changelog","agent-skills/game-development","agent-skills/game-development/build-game-changelog","absent","auto","8849","123","2213","Design, implement, backfill, audit, and release in-game changelogs with contiguous versioning, deployment provenance, menu-state navigation, accessible toggle, close, and Escape behavior, and responsive release-ledger UI. Use when Codex needs to add or revise a changelog or version screen in a game, reconstruct release history from deployments and Git, define version-bump rules, keep displayed versions synchronized with live builds, or test changelog mechanics across desktop and mobile."
"MengTo/Skills","build-game-inventory","agent-skills/game-development","agent-skills/game-development/build-game-inventory","absent","auto","1700","60","425","Build or repair game inventory, loot, equipment, tooltips, drag-and-drop, persistence, and progression systems. Use for item schemas, pickup flows, stack rules, equipment slots, atomic swaps, save migration, and no-loss regression testing."
"MengTo/Skills","build-game-map-editor","agent-skills/game-development","agent-skills/game-development/build-game-map-editor","absent","auto","9303","130","2326","Build, extend, or audit production-linked browser map editors for Three.js and isometric games. Use when Codex needs to create a private director view, derive a versioned editor document from authored placements, add outliner, layer, selection, drag, snap, inspector, or camera controls, expose enemy aggro, leash, or patrol overlays, implement local draft import, export, undo, and reset, secure an editor route with IP and password sessions, or validate and release a map editor without mutating live gameplay data."
"MengTo/Skills","build-game-monster-system","agent-skills/game-development","agent-skills/game-development/build-game-monster-system","absent","auto","4539","91","1135","Build, integrate, audit, or refactor rigged monsters for Three.js and web action games. Use for monster asset contracts, procedural or imported creature rigs, semantic joints and sockets, hurtboxes and attack volumes, combat animation states, enemy-runtime adapters, LODs, deterministic review fixtures, and validating that every monster follows one shared system."
"MengTo/Skills","build-hybrid-game-assets","agent-skills/game-development","agent-skills/game-development/build-hybrid-game-assets","absent","auto","3029","63","758","Plan, create, integrate, or audit a hybrid asset pipeline for a Three.js or web game. Use when choosing among imported meshes, procedural 3D geometry, AI-generated reference art, 2D UI media, sprites, VFX, and performance-ready runtime asset delivery."
"MengTo/Skills","build-interactive-particle-trail","agent-skills/web-design","agent-skills/web-design/build-interactive-particle-trail","absent","auto","6160","93","1540","Build a cursor or touch particle interaction that emits by distance along the traveled segment into a recycled GPU point pool, with optional keyboard-triggered bursts. Use for interactive particle trails, pollen lifted from a surface, dust disturbed by a pointer, hover particle bursts, and discrete motes whose spacing must stay consistent at different gesture speeds."
"MengTo/Skills","build-isometric-arpg","agent-skills/game-development","agent-skills/game-development/build-isometric-arpg","absent","auto","2386","62","597","Build or extend a playable isometric action RPG in Three.js, React, or similar web technology. Use for game-loop architecture, camera and movement, zones, combat integration, content data, progression, saves, or production-ready vertical slices."
"MengTo/Skills","build-mobile-threejs-games","agent-skills/game-development","agent-skills/game-development/build-mobile-threejs-games","absent","auto","1222","61","306","Build, tune, or test a Three.js game for mobile web. Use for touch movement, action controls, target selection, touch inventory, safe areas, portrait/landscape layouts, responsive HUD, battery/performance budgets, and real mobile browser QA."
"MengTo/Skills","build-rigged-game-assets","agent-skills/game-development","agent-skills/game-development/build-rigged-game-assets","absent","auto","7867","157","1967","Create, integrate, or audit production-ready rigged 3D characters and monsters with a main model, skeleton, animation library, sockets, collision contracts, separate character equipment, optimized runtime files, catalog media, and an interactive moveset inspector. Use when generating or importing FBX/GLB game actors; defining character-versus-monster asset requirements; separating swords, shields, helmets, armor, or stowed gear; adding idle, walk, run, attack, hit, dodge, block, cast, or death clips; wiring an asset into gameplay; or adding action and equipment controls plus deterministic tests to a game asset catalog."
"MengTo/Skills","build-threejs-enemy-systems","agent-skills/game-development","agent-skills/game-development/build-threejs-enemy-systems","absent","auto","4477","79","1120","Build or refactor reusable, data-driven enemy archetype and moveset systems for Three.js action games. Use for enemy content schemas, model and rig conventions, combat move timing and contact contracts, runtime state boundaries, placeholder fallbacks, deterministic fixtures, or production playthrough validation."
"MengTo/Skills","build-threejs-scroll-worlds","agent-skills/web-design","agent-skills/web-design/build-threejs-scroll-worlds","absent","auto","18967","127","4742","Build rich, scroll-controlled real-time Three.js experiences as one persistent 3D world whose camera, lighting, atmosphere, materials, objects, DOM story, and interactions evolve across authored chapters. Use for 3D scrollytelling, scroll-driven WebGL worlds, camera journeys, interactive portfolios, product stories, exhibitions, explainers, game or film microsites, spatial narratives, and multi-scene websites where native scroll should travel through one continuous place. Not limited to landing pages."
"MengTo/Skills","build-vesperfall-review-assets","agent-skills/game-development","agent-skills/game-development/build-vesperfall-review-assets","absent","auto","3535","104","884","Build truthful Vesperfall asset-library review pairs from transparent PNG references and live Three.js, FBX, or img2threejs models. Use when adding a character, enemy, prop, or equipment asset to the Vesperfall catalog; creating a card-PNG plus inspector-model treatment; exposing an isolated model or moveset route; or standardizing provenance, grounding, tests, and Codex-browser validation for game art review."
"MengTo/Skills","build-wireframe-scan-reveal","agent-skills/web-design","agent-skills/web-design/build-wireframe-scan-reveal","absent","auto","6413","75","1604","Reveal Three.js geometry with an expanding world-space scan whose wire cage leads the solid surface, then burns away. Use for wireframe scanning, radial mesh reveals, survey pulses, holographic assembly, topology intros, and 3D model entrances where a plain opacity wipe does not explain the form."
"MengTo/Skills","cinematic-gsap-lenis-motion-system","agent-skills/web-design","agent-skills/web-design/cinematic-gsap-lenis-motion-system","absent","auto","18386","79","4555","Create premium cinematic web motion systems with GSAP, ScrollTrigger, and Lenis. Use for luxury editorial websites, creative studio portfolios, Awwwards-style interactions, smooth scroll reveals, staggered text, parallax, pinned sections, magnetic hover states, custom cursors, and mouse-reactive layered movement."
"MengTo/Skills","cinematic-scroll-storytelling","agent-skills/web-design","agent-skills/web-design/cinematic-scroll-storytelling","absent","auto","12496","102","3101","Create cinematic scroll-driven landing pages with Lenis smooth scrolling, GSAP ScrollTrigger, scroll-linked progression, staggered text reveals, sticky card stacks, parallax backgrounds, scroll-scrubbed transitions, footer reveals, and immersive preloaders. Use when analyzing or building premium editorial scroll experiences, sticky project stacks, kinetic typography, or section-by-section storytelling."
"MengTo/Skills","clean-minimal-beige-light-mode","agent-skills/web-design","agent-skills/web-design/clean-minimal-beige-light-mode","absent","auto","3843","41","961","Create a clean minimal beige light-mode design system with warm neutral shells, quiet process grids, restrained accent color, and elegant low-contrast structure."
"MengTo/Skills","cobejs","agent-skills/web-design","agent-skills/web-design/cobejs","absent","auto","2429","35","590","Use when adding a lightweight interactive globe with cobe (canvas setup, markers, interaction, performance, integration with React/Next.js)."
"MengTo/Skills","company-logos","agent-skills/web-design","agent-skills/web-design/company-logos","absent","auto","1088","16","272","Use Iconify Simple Icons logos (64x64) instead of text logos."
"MengTo/Skills","container-lines","agent-skills/web-design","agent-skills/web-design/container-lines","absent","auto","3730","62","933","Add vertical container-size guide lines with mini corner squares for precise, structured web layouts. Use when asked for container lines, measured layout guides, vertical boundary lines, editorial grid markers, or small corner-square frame details."
"MengTo/Skills","corner-diagonals","agent-skills/web-design","agent-skills/web-design/corner-diagonals","absent","auto","5743","67","1436","Apply diagonal-cut corners and chamfered edges to buttons, cards, panels, and container shells. Use when a design needs precise geometric framing, sci-fi UI surfaces, clipped-corner controls, or engineered sharp containers instead of rounded pills or plain rectangles."
"MengTo/Skills","corner-lasers","agent-skills/web-design","agent-skills/web-design/corner-lasers","absent","auto","2892","30","723","Create a corner-anchored laser composition with thin beams, a bright emitter node, bloom, and atmospheric glow or fog."
"MengTo/Skills","create-game-vfx","agent-skills/game-development","agent-skills/game-development/create-game-vfx","absent","auto","1098","54","275","Create readable, performance-safe Three.js game visual effects. Use for attacks, impacts, damage feedback, status effects, spell trails, particles, shaders, telegraphs, quality tiers, and reduced-motion alternatives."
"MengTo/Skills","css-alpha-masking","agent-skills/web-design","agent-skills/web-design/css-alpha-masking","absent","auto","1824","47","456","Apply CSS alpha masking with linear-gradient for horizontal or vertical edge fades (mask-image and -webkit-mask-image). Use when asked for alpha masks, fade edges, or CSS mask gradients."
"MengTo/Skills","css-border-gradient","agent-skills/web-design","agent-skills/web-design/css-border-gradient","absent","auto","3025","48","757","Apply subtle gradient-border treatments for premium web surfaces. Use when cards, pricing panels, nav bars, modals, buttons, or hero surfaces need a refined edge highlight without a loud glow."
"MengTo/Skills","daily-ui-inspiration-capture","agent-skills/codex","agent-skills/codex/daily-ui-inspiration-capture","absent","auto","8261","96","2066","Create a recurring daily UI inspiration capture. Use when the user asks to run, refresh, package, or validate dated UI inspiration bundles, especially for `articles/YYYY-MM-DD-ui-inspiration-capture/` outputs, Framer/Dribbble landing-page inspiration, motion-study screenshots/videos, AI-builder prompts, duplicate checking, or converting a project runbook into repeatable workflow."
"MengTo/Skills","dark-blue-contrasting-clean","agent-skills/web-design","agent-skills/web-design/dark-blue-contrasting-clean","absent","auto","4439","37","1110","Create a dark-blue clean design system with strong contrast, cobalt gradient feature blocks, crisp framed structure, and restrained premium glow."
"MengTo/Skills","dark-glass-clean-layout","agent-skills/web-design","agent-skills/web-design/dark-glass-clean-layout","absent","auto","4920","40","1230","Create a dark glass layout system with frosted premium shells, clean multi-column workspace structure, floating data cards, and restrained atmospheric depth."
